"app_in_both_stores","apple_rating","android_rating","apple_price","android_price","apple_genre","android_genre","apple_content_rating","play_content_rating","weighted_rev_count","lifespan_mos","gross","ad_cost","apple_purchase_cost","android_purchase_cost","profit"
"Dude Perfect 2",4.5,4.5,0.00,0,"Games","Action","4+","Everyone",376807,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"YouTube Kids",4.5,4.5,0.00,0,"Entertainment","Entertainment;Music & Video","4+","Everyone",445401,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Plants vs. Zombies™ Heroes",4.5,4.4,0.00,0,"Games","Casual;Action & Adventure","9+","Everyone",364453,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"PAC-MAN Pop",4.5,4.3,0.00,0,"Games","Puzzle;Action & Adventure","4+","Everyone",23954,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Disney Crossy Road",4.5,4.5,0.00,0,"Games","Arcade;Action & Adventure","4+","Everyone",480900,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Starbucks",4.5,4.5,0.00,0,"Food & Drink","Food & Drink","4+","Everyone",394816,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Dude Perfect",4.5,4.5,0.99,0,"Games","Sports","4+","Everyone",9667,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"YouTube Kids",4.5,4.5,0.00,0,"Entertainment","Entertainment;Music & Video","4+","Everyone",445420,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Dude Perfect 2",4.5,4.5,0.00,0,"Games","Action","4+","Everyone",377028,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Nyan Cat: Lost In Space",4.5,4.5,0.00,0,"Games","Arcade","4+","Everyone 10+",320995,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Animal Jam - Play Wild!",4.5,4.6,0.00,0,"Games","Casual;Pretend Play","9+","Everyone",338725,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Real Racing 3",4.5,4.5,0.00,0,"Games","Racing;Action & Adventure","4+","Everyone",294184,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Google Sheets",4.5,4.3,0.00,0,"Productivity","Productivity","4+","Everyone",474118,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
