"app_in_both_stores","weighted_rev_count","lifespan_mos","gross","ad_cost","apple_purchase_cost","android_purchase_cost","profit","apple_genre","android_genre"
"USAA Mobile","87630",228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00","Finance","Finance"
"Best Buy","154225",228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00","Shopping","Shopping"
"Endless Ducker","7646",228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00","Games","Arcade"
"Airbnb","339707",228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00","Travel","Travel & Local"
"Fandango Movies - Times + Tickets","269921",228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00","Entertainment","Entertainment"
"Angry Birds Space HD","41676",228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00","Games","Arcade"
"Amex Mobile","20524",228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00","Finance","Finance"
"Firefox Focus: The privacy browser","36516",228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00","Utilities","Communication"
"Tomb of the Mask","49371",228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00","Games","Action"
"My Emma :)","237983",228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00","Games","Casual"
"Mad Skills Motocross","27349",228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00","Games","Racing"
"Crazy Freekick","47462",228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00","Games","Sports"
"T-Mobile","464241",228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00","Productivity","Tools"
"Deck Heroes: Legacy","466002",228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00","Games","Card"
"Tiny Archers","80117",228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00","Games","Action"
"Shopkins World!","166669",228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00","Games","Arcade;Action & Adventure"
"SONIC Drive-In","17927",228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00","Food & Drink","Food & Drink"
"ADP Mobile Solutions","78342",228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00","Business","Business"
"WEB.DE Mail","226373",228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00","Productivity","Communication"
"sugar, sugar","1291",228,"$570,000.00","$120,000.00","$10,000.00","$12,000.00","$428,000.00","Games","Puzzle"
"Pocket Yoga","3716",240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00","Health & Fitness","Health & Fitness"
"Bloons TD 5","163260",240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00","Games","Strategy"
"The Game of Life","16827",240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00","Games","Board"
"Alizay, pirate girl","184",240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00","Book","Casual;Action & Adventure"
"Five Nights at Freddy's","85119",240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00","Games","Action"
"Five Nights at Freddy's 2","62937",240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00","Games","Strategy"
"Five Nights at Freddy's 3","23149",240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00","Games","Action"
"Threema","50915",240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00","Social Networking","Communication"
"Riptide GP: Renegade","3987",240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00","Games","Racing"
"Tsuro - The Game of the Path","1868",240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00","Games","Board;Brain Games"
"Can Knockdown 3","348375",228,"$570,000.00","$120,000.00","$19,900.00","$10,000.00","$420,100.00","Games","Arcade"
"Hitman GO","77062",240,"$600,000.00","$120,000.00","$49,900.00","$10,000.00","$420,100.00","Games","Puzzle"
"Fitbit","303488",216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00","Health & Fitness","Health & Fitness"
"Driving Zone","51496",216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00","Games","Racing"
"Get 'Em","7864",216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00","Games","Action"
"Google Classroom","64492",216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00","Education","Education"
"Google Slides","235420",216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00","Productivity","Productivity"
"Infinite Painter","36750",216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00","Productivity","Art & Design"
"King of Avalon: Dragon Warfare","303397",216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00","Games","Strategy"
"MARVEL Avengers Academy","288608",216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00","Games","Adventure"
"My Little Pony: Harmony Quest","146208",216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00","Entertainment","Casual;Action & Adventure"
"NASCAR MOBILE","70034",216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00","Sports","Sports"
"Peggle Blast","156218",216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00","Games","Card"
"RISK: Global Domination","64079",216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00","Games","Board;Action & Adventure"
"WatchESPN","242843",216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00","Sports","Sports"
"Amazon Prime Video","376391",216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00","Entertainment","Entertainment"
"Ao Oni2","21216",216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00","Games","Adventure"
"Bejeweled Blitz","221836",216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00","Games","Puzzle"
"Cartoon Wars 3","136708",216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00","Games","Role Playing"
"diep.io","338980",216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00","Games","Action"
"Does not Commute","148861",216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00","Games","Racing"
"My Talking Pet","7892",240,"$600,000.00","$120,000.00","$19,900.00","$49,900.00","$410,200.00","Entertainment","Entertainment"
"True Skate","120087",228,"$570,000.00","$120,000.00","$19,900.00","$19,900.00","$410,200.00","Games","Sports"
"Toca Life: City","28249",240,"$600,000.00","$120,000.00","$29,900.00","$39,900.00","$410,200.00","Education","Education;Pretend Play"
"Out There Chronicles - Ep. 1","1438",228,"$570,000.00","$120,000.00","$19,900.00","$29,900.00","$400,200.00","Games","Role Playing"
"Dr. Panda & Toto's Treehouse","3048",240,"$600,000.00","$120,000.00","$39,900.00","$39,900.00","$400,200.00","Entertainment","Casual;Pretend Play"
"Retro City Rampage DX","367",240,"$600,000.00","$120,000.00","$49,900.00","$29,900.00","$400,200.00","Games","Action"
"iFunny :)","437538",216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00","Entertainment","Entertainment"
"Chick-fil-A","24249",216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00","Food & Drink","Food & Drink"
"Allrecipes Dinner Spinner","92194",216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00","Food & Drink","Food & Drink"
"Ingress","388624",216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00","Games","Adventure"
"Premier League - Official App","62808",216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00","Sports","Sports"
"NBA","89742",216,"$540,000.00","$120,000.00","$10,000.00","$10,000.00","$400,000.00","Sports","Sports"
